Year,Month,Day,Division,Region,Branch,PartId,Category,Description,PartNumber,Diameter,Width,PCD,Qty,Price
2021,April,7,TWT,Cape,Bellville,67149,TSW,WHEELS,6014FLX30P810873SBM,14,60,8108,4,2595
2021,April,7,TWT,Cape,Bellville,69049,RACING HART CONCEPT WHEELS,WHEELS,6014LAT30P810073SBL,14,60,8100,0,0
2021,April,7,TWT,Cape,Bellville,69268,CONNOISSEUR,WHEELS,6515RIE30P810873MIB,15,65,8108,4,3395
2021,April,7,TWT,Cape,Bellville,78069,RACING HART CONCEPT WHEELS,WHEELS,7015FIG35P410073SBK,15,70,4100,4,3395
2021,April,7,TWT,Cape,Bellville,78592,RACING HART CONCEPT WHEELS,WHEELS,6515FOR35P011473SBM,15,65,114,4,3495
2021,April,7,TWT,Cape,Bellville,79301,TSW,WHEELS,6014ICO35P410873GBM,14,60,4108,4,2595
2021,April,7,TWT,Cape,Bellville,79305,TSW,WHEELS,7015ICO35P410073GBM,15,70,4100,4,3095
2021,April,7,TWT,Cape,Bellville,79641,PDW,WHEELS,9017MOB18P614006SBK,17,90,6140,4,6995
2021,April,7,TWT,Cape,Bellville,79926,TSW,WHEELS,7517TRN40P511473SBK,17,75,5114,4,4195
2021,April,7,TWT,Cape,Canal Walk,33408,CONNOISSEUR,WHEELS,8017CS530P810873GBM,17,80,8108,4,4695
